Year,STATE,STATENAME,ST_CASE,VEH_NO,DRDISTRACT,DRDISTRACTNAME
2016,4,Arizona,40182,1,99,Unknown if Distracted
2016,4,Arizona,40183,1,99,Unknown if Distracted
2016,4,Arizona,40184,1,1,Looked But Did Not See
2016,4,Arizona,40184,2,99,Unknown if Distracted
2016,4,Arizona,40185,1,99,Unknown if Distracted
2016,4,Arizona,40186,1,99,Unknown if Distracted
2016,4,Arizona,40186,2,99,Unknown if Distracted
2016,4,Arizona,40187,1,99,Unknown if Distracted
2016,4,Arizona,40188,1,99,Unknown if Distracted
2016,4,Arizona,40189,1,0,Not Distracted
2016,4,Arizona,40190,1,99,Unknown if Distracted
2016,4,Arizona,40191,1,99,Unknown if Distracted
2016,4,Arizona,40192,1,0,Not Distracted
2016,4,Arizona,40193,1,99,Unknown if Distracted
2016,4,Arizona,40194,1,0,Not Distracted
2016,4,Arizona,40195,1,96,Not Reported
2016,4,Arizona,40196,1,99,Unknown if Distracted
2016,4,Arizona,40196,2,0,Not Distracted
2016,4,Arizona,40198,1,99,Unknown if Distracted
2016,4,Arizona,40199,1,0,Not Distracted
2016,4,Arizona,40200,1,1,Looked But Did Not See
2016,4,Arizona,40200,2,99,Unknown if Distracted
2016,4,Arizona,40201,1,99,Unknown if Distracted
2016,4,Arizona,40201,2,0,Not Distracted
2016,4,Arizona,40201,3,0,Not Distracted
2016,4,Arizona,40202,1,99,Unknown if Distracted
2016,4,Arizona,40203,1,93,"""Inattention (Inattentive)"
2016,4,Arizona,40204,1,10,While Using or Reaching for Device/Object Brought into Vehicle
2016,4,Arizona,40204,2,0,Not Distracted
2016,4,Arizona,40205,1,0,Not Distracted
2016,4,Arizona,40207,1,1,Looked But Did Not See
2016,4,Arizona,40207,2,0,Not Distracted
2016,4,Arizona,40207,3,0,Not Distracted
2016,4,Arizona,40208,1,99,Unknown if Distracted
2016,4,Arizona,40208,2,0,Not Distracted
2016,4,Arizona,40209,1,99,Unknown if Distracted
2016,4,Arizona,40210,1,0,Not Distracted
2016,4,Arizona,40210,2,99,Unknown if Distracted
2016,4,Arizona,40211,1,99,Unknown if Distracted
2016,4,Arizona,40212,1,99,Unknown if Distracted
2016,4,Arizona,40212,2,99,Unknown if Distracted
2016,4,Arizona,40213,1,99,Unknown if Distracted
2016,4,Arizona,40213,2,99,Unknown if Distracted
2016,4,Arizona,40214,1,99,Unknown if Distracted
2016,4,Arizona,40215,1,99,Unknown if Distracted
2016,4,Arizona,40215,2,0,Not Distracted
2016,4,Arizona,40215,3,0,Not Distracted
2016,4,Arizona,40216,1,99,Unknown if Distracted
2016,4,Arizona,40217,1,0,Not Distracted
2016,4,Arizona,40217,2,0,Not Distracted
2016,4,Arizona,40217,3,0,Not Distracted
2016,4,Arizona,40218,1,0,Not Distracted
2016,4,Arizona,40218,2,0,Not Distracted
2016,4,Arizona,40219,1,0,Not Distracted
2016,4,Arizona,40220,1,12,"""Distracted by Outside Person"
2016,4,Arizona,40220,2,99,Unknown if Distracted
2016,4,Arizona,40221,1,0,Not Distracted
2016,4,Arizona,40222,1,0,Not Distracted
2016,4,Arizona,40223,1,0,Not Distracted
2016,4,Arizona,40223,2,0,Not Distracted
2016,4,Arizona,40224,1,99,Unknown if Distracted
2016,4,Arizona,40224,2,0,Not Distracted
2016,4,Arizona,40225,1,99,Unknown if Distracted
2016,4,Arizona,40226,1,0,Not Distracted
2016,4,Arizona,40227,1,0,Not Distracted
2016,4,Arizona,40228,1,0,Not Distracted
2016,4,Arizona,40229,1,0,Not Distracted
2016,4,Arizona,40230,1,0,Not Distracted
2016,4,Arizona,40230,2,0,Not Distracted
2016,4,Arizona,40230,3,0,Not Distracted
2016,4,Arizona,40231,1,99,Unknown if Distracted
2016,4,Arizona,40232,1,99,Unknown if Distracted
2016,4,Arizona,40234,1,0,Not Distracted
2016,4,Arizona,40235,1,0,Not Distracted
2016,4,Arizona,40235,2,0,Not Distracted
2016,4,Arizona,40235,3,0,Not Distracted
2016,4,Arizona,40236,1,99,Unknown if Distracted
2016,4,Arizona,40236,2,0,Not Distracted
2016,4,Arizona,40237,1,99,Unknown if Distracted
2016,4,Arizona,40237,2,0,Not Distracted
2016,4,Arizona,40238,1,99,Unknown if Distracted
2016,4,Arizona,40239,1,99,Unknown if Distracted
2016,4,Arizona,40240,1,99,Unknown if Distracted
2016,4,Arizona,40241,1,99,Unknown if Distracted
2016,4,Arizona,40241,2,0,Not Distracted
2016,4,Arizona,40242,1,0,Not Distracted
2016,4,Arizona,40243,1,0,Not Distracted
2016,4,Arizona,40244,1,0,Not Distracted
2016,4,Arizona,40245,1,99,Unknown if Distracted
2016,4,Arizona,40246,1,15,Other Cellular Phone Related
2016,4,Arizona,40247,1,99,Unknown if Distracted
2016,4,Arizona,40248,1,99,Unknown if Distracted
2016,4,Arizona,40249,1,99,Unknown if Distracted
2016,4,Arizona,40250,1,99,Unknown if Distracted
2016,4,Arizona,40250,2,0,Not Distracted
2016,4,Arizona,40250,3,0,Not Distracted
2016,4,Arizona,40251,1,99,Unknown if Distracted
2016,4,Arizona,40252,1,99,Unknown if Distracted
2016,4,Arizona,40253,1,0,Not Distracted
2016,4,Arizona,40254,1,15,Other Cellular Phone Related
2016,4,Arizona,40255,1,99,Unknown if Distracted
2016,4,Arizona,40256,1,99,Unknown if Distracted
2016,4,Arizona,40257,1,99,Unknown if Distracted
2016,4,Arizona,40258,1,99,Unknown if Distracted
2016,4,Arizona,40258,2,99,Unknown if Distracted
2016,4,Arizona,40259,1,99,Unknown if Distracted
2016,4,Arizona,40260,1,99,Unknown if Distracted
2016,4,Arizona,40260,2,0,Not Distracted
2016,4,Arizona,40261,1,99,Unknown if Distracted
2016,4,Arizona,40261,2,0,Not Distracted
2016,4,Arizona,40262,1,99,Unknown if Distracted
2016,4,Arizona,40262,2,99,Unknown if Distracted
2016,4,Arizona,40263,1,0,Not Distracted
2016,4,Arizona,40264,1,99,Unknown if Distracted
2016,4,Arizona,40264,2,0,Not Distracted
2016,4,Arizona,40265,1,0,Not Distracted
2016,4,Arizona,40265,2,0,Not Distracted
2016,4,Arizona,40266,1,0,Not Distracted
2016,4,Arizona,40267,1,99,Unknown if Distracted
2016,4,Arizona,40268,1,0,Not Distracted
2016,4,Arizona,40268,2,0,Not Distracted
2016,4,Arizona,40268,3,0,Not Distracted
2016,4,Arizona,40269,1,99,Unknown if Distracted
2016,4,Arizona,40269,2,0,Not Distracted
2016,4,Arizona,40270,1,99,Unknown if Distracted
2016,4,Arizona,40271,1,99,Unknown if Distracted
2016,4,Arizona,40272,1,0,Not Distracted
2016,4,Arizona,40272,2,0,Not Distracted
2016,4,Arizona,40273,1,0,Not Distracted
2016,4,Arizona,40273,2,0,Not Distracted
2016,4,Arizona,40274,1,99,Unknown if Distracted
2016,4,Arizona,40275,1,0,Not Distracted
2016,4,Arizona,40275,2,99,Unknown if Distracted
2016,4,Arizona,40276,1,99,Unknown if Distracted
2016,4,Arizona,40277,1,0,Not Distracted
2016,4,Arizona,40278,1,1,Looked But Did Not See
2016,4,Arizona,40279,1,99,Unknown if Distracted
2016,4,Arizona,40279,2,0,Not Distracted
2016,4,Arizona,40279,3,0,Not Distracted
2016,4,Arizona,40280,1,99,Unknown if Distracted
2016,4,Arizona,40281,1,0,Not Distracted
2016,4,Arizona,40282,1,99,Unknown if Distracted
2016,4,Arizona,40282,2,0,Not Distracted
2016,4,Arizona,40282,3,0,Not Distracted
2016,4,Arizona,40283,1,0,Not Distracted
2016,4,Arizona,40284,1,99,Unknown if Distracted
2016,4,Arizona,40285,1,0,Not Distracted
2016,4,Arizona,40286,1,99,Unknown if Distracted
2016,4,Arizona,40287,1,99,Unknown if Distracted
2016,4,Arizona,40288,1,99,Unknown if Distracted
2016,4,Arizona,40289,1,99,Unknown if Distracted
2016,4,Arizona,40289,2,0,Not Distracted
2016,4,Arizona,40289,3,0,Not Distracted
2016,4,Arizona,40290,1,99,Unknown if Distracted
2016,4,Arizona,40291,1,99,Unknown if Distracted
2016,4,Arizona,40292,1,0,Not Distracted
2016,4,Arizona,40292,2,99,Unknown if Distracted
2016,4,Arizona,40293,1,0,Not Distracted
2016,4,Arizona,40294,1,99,Unknown if Distracted
2016,4,Arizona,40294,2,0,Not Distracted
2016,4,Arizona,40295,1,99,Unknown if Distracted
2016,4,Arizona,40296,1,99,Unknown if Distracted
2016,4,Arizona,40297,1,99,Unknown if Distracted
2016,4,Arizona,40298,1,10,While Using or Reaching for Device/Object Brought into Vehicle
2016,4,Arizona,40299,1,1,Looked But Did Not See
2016,4,Arizona,40300,1,5,While Talking or Listening to Cellular Phone
2016,4,Arizona,40301,1,99,Unknown if Distracted
2016,4,Arizona,40301,2,0,Not Distracted
2016,4,Arizona,40302,1,0,Not Distracted
2016,4,Arizona,40302,2,0,Not Distracted
2016,4,Arizona,40302,3,0,Not Distracted
2016,4,Arizona,40303,1,99,Unknown if Distracted
2016,4,Arizona,40303,2,0,Not Distracted
2016,4,Arizona,40304,1,99,Unknown if Distracted
2016,4,Arizona,40305,1,0,Not Distracted
2016,4,Arizona,40306,1,0,Not Distracted
2016,4,Arizona,40307,1,99,Unknown if Distracted
2016,4,Arizona,40307,2,99,Unknown if Distracted
2016,4,Arizona,40308,1,99,Unknown if Distracted
2016,4,Arizona,40308,2,0,Not Distracted
2016,4,Arizona,40309,1,0,Not Distracted
2016,4,Arizona,40310,1,0,Not Distracted
2016,4,Arizona,40311,1,99,Unknown if Distracted
2016,4,Arizona,40312,1,1,Looked But Did Not See
2016,4,Arizona,40312,2,0,Not Distracted
2016,4,Arizona,40313,1,99,Unknown if Distracted
2016,4,Arizona,40314,1,3,By Other Occupant(s)
2016,4,Arizona,40315,1,99,Unknown if Distracted
2016,4,Arizona,40315,2,0,Not Distracted
2016,4,Arizona,40315,3,0,Not Distracted
2016,4,Arizona,40316,1,99,Unknown if Distracted
2016,4,Arizona,40316,2,0,Not Distracted
2016,4,Arizona,40316,3,0,Not Distracted
2016,4,Arizona,40317,1,99,Unknown if Distracted
2016,4,Arizona,40317,2,0,Not Distracted
2016,4,Arizona,40318,1,99,Unknown if Distracted
2016,4,Arizona,40319,1,0,Not Distracted
2016,4,Arizona,40320,1,99,Unknown if Distracted
2016,4,Arizona,40320,2,0,Not Distracted
2016,4,Arizona,40321,1,99,Unknown if Distracted
2016,4,Arizona,40321,2,0,Not Distracted
2016,4,Arizona,40322,1,99,Unknown if Distracted
2016,4,Arizona,40322,2,99,Unknown if Distracted
2016,4,Arizona,40323,1,0,Not Distracted
2016,4,Arizona,40324,1,0,Not Distracted
2016,4,Arizona,40324,2,99,Unknown if Distracted
2016,4,Arizona,40325,1,99,Unknown if Distracted
2016,4,Arizona,40326,1,99,Unknown if Distracted
2016,4,Arizona,40326,2,0,Not Distracted
2016,4,Arizona,40327,1,99,Unknown if Distracted
2016,4,Arizona,40328,1,99,Unknown if Distracted
2016,4,Arizona,40329,1,99,Unknown if Distracted
2016,4,Arizona,40330,1,99,Unknown if Distracted
2016,4,Arizona,40330,2,99,Unknown if Distracted
2016,4,Arizona,40331,1,15,Other Cellular Phone Related
2016,4,Arizona,40331,2,0,Not Distracted
2016,4,Arizona,40332,1,99,Unknown if Distracted
2016,4,Arizona,40333,1,99,Unknown if Distracted
2016,4,Arizona,40334,1,99,Unknown if Distracted
2016,4,Arizona,40335,1,99,Unknown if Distracted
2016,4,Arizona,40335,2,99,Unknown if Distracted
2016,4,Arizona,40336,1,99,Unknown if Distracted
2016,4,Arizona,40337,1,99,Unknown if Distracted
2016,4,Arizona,40338,1,99,Unknown if Distracted
2016,4,Arizona,40339,1,0,Not Distracted
2016,4,Arizona,40340,1,99,Unknown if Distracted
2016,4,Arizona,40340,2,0,Not Distracted
2016,4,Arizona,40340,3,0,Not Distracted
2016,4,Arizona,40340,4,0,Not Distracted
2016,4,Arizona,40340,5,0,Not Distracted
2016,4,Arizona,40340,6,0,Not Distracted
2016,4,Arizona,40341,1,0,Not Distracted
2016,4,Arizona,40342,1,99,Unknown if Distracted
2016,4,Arizona,40343,1,99,Unknown if Distracted
2016,4,Arizona,40344,1,99,Unknown if Distracted
2016,4,Arizona,40345,1,99,Unknown if Distracted
2016,4,Arizona,40346,1,99,Unknown if Distracted
2016,4,Arizona,40346,2,0,Not Distracted
2016,4,Arizona,40346,3,0,Not Distracted
2016,4,Arizona,40347,1,99,Unknown if Distracted
2016,4,Arizona,40348,1,99,Unknown if Distracted
2016,4,Arizona,40348,2,99,Unknown if Distracted
2016,4,Arizona,40348,3,0,Not Distracted
2016,4,Arizona,40349,1,0,Not Distracted
2016,4,Arizona,40350,1,0,Not Distracted
2016,4,Arizona,40350,2,0,Not Distracted
2016,4,Arizona,40351,1,0,Not Distracted
2016,4,Arizona,40352,1,99,Unknown if Distracted
2016,4,Arizona,40353,1,0,Not Distracted
2016,4,Arizona,40354,1,99,Unknown if Distracted
2016,4,Arizona,40354,2,0,Not Distracted
2016,4,Arizona,40355,1,99,Unknown if Distracted
2016,4,Arizona,40356,1,99,Unknown if Distracted
2016,4,Arizona,40357,1,99,Unknown if Distracted
2016,4,Arizona,40357,2,99,Unknown if Distracted
2016,4,Arizona,40358,1,99,Unknown if Distracted
2016,4,Arizona,40358,2,0,Not Distracted
2016,4,Arizona,40359,1,1,Looked But Did Not See
2016,4,Arizona,40360,1,1,Looked But Did Not See
2016,4,Arizona,40361,1,0,Not Distracted
2016,4,Arizona,40361,2,0,Not Distracted
2016,4,Arizona,40362,1,99,Unknown if Distracted
2016,4,Arizona,40362,2,0,Not Distracted
2016,4,Arizona,40363,1,99,Unknown if Distracted
2016,4,Arizona,40363,2,0,Not Distracted
2016,4,Arizona,40363,3,0,Not Distracted
2016,4,Arizona,40364,1,99,Unknown if Distracted
2016,4,Arizona,40364,2,0,Not Distracted
2016,4,Arizona,40365,1,0,Not Distracted
2016,4,Arizona,40366,1,0,Not Distracted
2016,4,Arizona,40367,1,99,Unknown if Distracted
2016,4,Arizona,40367,2,0,Not Distracted
2016,4,Arizona,40367,3,0,Not Distracted
2016,4,Arizona,40368,1,0,Not Distracted
2016,4,Arizona,40369,1,99,Unknown if Distracted
2016,4,Arizona,40369,2,99,Unknown if Distracted
2016,4,Arizona,40370,1,99,Unknown if Distracted
2016,4,Arizona,40370,2,99,Unknown if Distracted
2016,4,Arizona,40371,1,0,Not Distracted
2016,4,Arizona,40372,1,99,Unknown if Distracted
2016,4,Arizona,40373,1,1,Looked But Did Not See
2016,4,Arizona,40373,2,0,Not Distracted
